(227, -291)
(-113, -353)
(-99, 235)
(302, -69)
(-77, -337)
(253, -330)
(-58, 266)
(132, 264)
(54, 29)
(-341, 234)
(193, -135)
(-173, -74)
(-382, -300)
(156, 367)
(-292, 92)
(-294, 391)
(326, -158)
(-262, -178)
(138, -274)
(211, 57)
(342, -342)
(-182, -299)
(-135, 143)
(-13, -232)
(-43, -151)
(299, -318)
(-242, 318)
(313, -382)
(-310, 351)
(217, -367)
(333, -202)
(54, 196)
(-38, -269)
(-23, 316)
(-341, 129)
(-297, -193)
(114, 70)
(369, -271)
(91, 173)
(-5, 392)
(38, 161)
(8, -171)
(-195, -256)
(312, -39)
(81, -295)
(-339, 283)
(278, -171)
(-65, 72)
(222, 112)
(-68, 350)
(-206, -163)
(-31, 139)
(47, 50)
(16, -284)
(-205, -222)
(-230, 39)
(-304, -102)
(107, 326)
(335, -286)
(148, 379)
